source_id,target_id,type,relation,polarity,stance_score,intensity,relation_subtype,evidence,confidence,article_id,segment_id
张东荪,article:9ba1765f59f7,WROTE,WROTE,neutral,0,0,,,,张东荪_000_a9bf05ee,
article:9ba1765f59f7,segment:4a80f890fbf5,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0011
article:9ba1765f59f7,segment:ea770101cf99,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0008
article:9ba1765f59f7,segment:9f4441746c9e,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0007
article:9ba1765f59f7,segment:5557427c1c09,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0006
article:9ba1765f59f7,segment:f042ba585dfd,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0004
article:9ba1765f59f7,segment:c43071793ebb,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0013
article:9ba1765f59f7,segment:f0a67c912959,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0005
article:9ba1765f59f7,segment:2be09680612c,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0009
article:9ba1765f59f7,segment:33cf479e856e,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0001
article:9ba1765f59f7,segment:1fff26c117b1,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0016
article:9ba1765f59f7,segment:89563a88f905,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0010
article:9ba1765f59f7,segment:a79f3088931f,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0014
article:9ba1765f59f7,segment:1e5b2e51a4d5,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0002
segment:33cf479e856e,entity:00bca7507ba2,MENTIONS,MENTIONS,neutral,0,0,,丁先生,,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0001
segment:33cf479e856e,entity:d415fa09f5df,MENTIONS,MENTIONS,neutral,0,0,,林先生,,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0001
segment:33cf479e856e,entity:d0a13b8fc27c,MENTIONS,MENTIONS,neutral,0,0,,玄学这个鬼,,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0001
segment:33cf479e856e,entity:887e1787a656,MENTIONS,MENTIONS,neutral,0,0,,名叫哲学的人,,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0001
segment:33cf479e856e,entity:25a150305a7a,MENTIONS,MENTIONS,neutral,0,0,,科学来攻玄学,,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0001
segment:33cf479e856e,entity:0e96e5b47d42,MENTIONS,MENTIONS,neutral,0,0,,汉学家的考据,,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0001
segment:1e5b2e51a4d5,entity:00bca7507ba2,MENTIONS,MENTIONS,neutral,0,0,,文本中多次提及丁先生，指丁文江,,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0002
segment:1e5b2e51a4d5,entity:cb40a90881fa,MENTIONS,MENTIONS,neutral,0,0,,丁先生最喜欢听胡适之先生的话,,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0002
segment:1e5b2e51a4d5,entity:4841932d73fb,MENTIONS,MENTIONS,neutral,0,0,,丁先生崇拜詹姆士,,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0002
segment:1e5b2e51a4d5,entity:ab5f008cd73e,MENTIONS,MENTIONS,neutral,0,0,,玄学的性质亦很易明白,,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0002
